"","CCMD11006829ST.21.0","CCMD12232071ST.21.0","CCMD13071240ST.21.0","CCMD13934959ST.21.0","CCMD14479708ST.21.0","CCMD18872694ST.21.0","CCMD19497912ST.21.0","CCMD23101338ST.21.0","CCMD25511638ST.21.0","CCMD25963797ST.21.0","CCMD26709089ST.21.0","CCMD26925580ST.21.0","CCMD34381688ST.21.0","CCMD35802077ST.21.0","CCMD40701343ST.21.0","CCMD42428553ST.21.0","CCMD45988061ST.21.0","CCMD46222674ST.21.0","CCMD46947453ST.21.0","CCMD48236717ST.21.0","CCMD50071957ST.21.0","CCMD51864103ST.21.0","CCMD60079086ST.21.0","CCMD63399960ST.21.0","CCMD64503764ST.21.0","CCMD64776337ST.21.0","CCMD72895164ST.21.0","CCMD74930188ST.21.0","CCMD79987997ST.21.0","CCMD82866709ST.21.0","CCMD86114146ST.21.0","CCMD86707194ST.21.0","CCMD87156761ST.21.0","CCMD88272491ST.21.0","CCMD90311071ST.21.0","CCMD93344354ST.21.0","CCMD95433940ST.21.0","CCMD96553385ST.21.0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST","CCMD10032470ST.11.0","CCMD10191450ST.11.0","CCMD15562448ST.11.0","CCMD17410933ST.11.0","CCMD18579000ST.11.0","CCMD18829815ST.11.0","CCMD19168690ST.11.0","CCMD21593359ST.11.0","CCMD21703880ST.11.0","CCMD22852639ST.11.0","CCMD23541216ST.11.0","CCMD25475945ST.11.0","CCMD26625622ST.11.0","CCMD27463710ST.11.0","CCMD27867141ST.11.0","CCMD28738636ST.11.0","CCMD29706695ST.11.0","CCMD30626189ST.11.0","CCMD30627121ST.11.0","CCMD31009081ST.11.0","CCMD31134579ST.11.0","CCMD32288175ST.11.0","CCMD32965613ST.11.0","CCMD35081859ST.11.0","CCMD35633353ST.11.0","CCMD35801800ST.11.0","CCMD37575804ST.11.0","CCMD38158721ST.11.0","CCMD39157124ST.11.0","CCMD39882286ST.11.0","CCMD41202658ST.11.0","CCMD41521570ST.11.0","CCMD42956136ST.11.0","CCMD45004878ST.11.0","CCMD45812507ST.11.0","CCMD46727384ST.11.0","CCMD49025643ST.11.0","CCMD49461418ST.11.0","CCMD49942357ST.11.0","CCMD50300306ST.11.0","CCMD50529145ST.11.0","CCMD50538120ST.11.0","CCMD51154251ST.11.0","CCMD51228890ST.11.0","CCMD52117727ST.11.0","CCMD52145360ST.11.0","CCMD53508245ST.11.0","CCMD53522274ST.11.0","CCMD54057834ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","CCMD59583015ST.11.0","CCMD65222621ST.11.0","CCMD65406197ST.11.0","CCMD66848156ST.11.0","CCMD67373733ST.11.0","CCMD68973846ST.11.0","CCMD71242853ST.11.0","CCMD71915439ST.11.0","CCMD72666896ST.11.0","CCMD72690923ST.11.0","CCMD73128545ST.11.0","CCMD74592084ST.11.0","CCMD75147712ST.11.0","CCMD76222476ST.11.0","CCMD76409700ST.11.0","CCMD79349503ST.11.0","CCMD85481373ST.11.0","CCMD85661207ST.11.0","CCMD89107682ST.11.0","CCMD89306485ST.11.0","CCMD89643949ST.11.0","CCMD89967135ST.11.0","CCMD92404903ST.11.0","CCMD93755960ST.11.0","CCMD95431029ST.11.0","CCMD95676152ST.11.0","CCMD98198513ST.11.0","CCMD98531134ST.11.0","CCMD98702133ST.11.0","CCMD99440714ST.11.0","CCMD99929634ST.11.0"
"Actinomycetia",2.80208,4.0917,0.13361,1.15865,2.70364,1.16928,5.34772,0.83118,2.46646,0.01559,1.31372,7.38696,0.01636,5.40859,0.0253,2.08577,4.3148,10.26188,5.24181,1.77974,4.41976,7.12896,0.00674,2.03401,0.01591,0.31709,0.07293,1.38801,0.11618,4.71529,13.93658,1.89558,1.01604,0.15231,0.64021,0.99803,2.70923,0.06243,4.5326,6.68979,4.02126,17.60562,0.04807,3.68641,19.33936,1.54713,6.43297,2.53948,0.34808,0.11845,0.63417,2.79419,5.82687,0.00653,0.44691,1.16593,0.87093,4.36115,5.07175,1.45943,13.43812,0.01831,4.94021,0.24452,0.09849,0.18019,4.91837,3.81333,0.91812,12.35347,0.04883,2.56176,1.00666,0.19546,8.56169,3.60992,6.13569,0.73487,0.01281,0.39374,3.23075,3.2286,0.76214,7.58401,10.53544,4.12769,31.49952,0.09908,0.06336,4.79819,0.0036,0.35435,6.91387,4.06997,9.70279,4.86355,6.23071,5.90964,0.84424,0.84467,3.39352,3.83986,28.8496,2.37338,0,5.86272,0.00548,3.32544,7.00568,2.53614,1.24054,7.54357,20.45094,8.11314,0.01999,10.29574,3.93945,2.8105,0.18595,19.6159,1.28092,9.1878,0.60607,3.00266,3.17986
"Coriobacteriia",1.13003,0.97099,3.73051,0.64081,1.07768,0.51162,2.53759,1.61034,2.38019,2.81792,0.3333,0.12315,1.09461,1.81738,0.12806,3.87433,2.53203,4.42224,1.4683,2.48542,0.37999,0.39642,0.32702,0.54116,2.57483,0.44595,0.31843,0.54016,0,0.53886,1.87914,1.44368,0.36184,0.70881,2.31081,0.65225,1.00398,0.35774,5.86296,2.18634,0.3732,3.02628,1.9071,2.96953,3.35132,0.53654,2.61969,3.02614,0.40785,1.30252,5.23094,5.004,7.55348,0.5359,2.7208,0.2213,5.13458,0.84941,2.80493,0.4044,2.27193,0.70317,8.93119,0.7016,0.51357,0.44141,2.42587,0.9076,0.57118,1.26042,0.31708,0.53436,1.85259,0.5704,2.0547,3.99744,2.8772,2.15407,1.20024,20.16838,6.48837,1.35856,1.11243,4.72012,4.5313,8.47033,2.86295,0.23237,1.39482,2.52234,0.05291,2.51165,5.28625,5.32633,6.94989,2.02208,4.7406,1.63077,3.17447,1.80901,0.16204,1.16155,4.64741,2.25206,0.76916,0.37116,0.03335,4.70484,0.97162,0.79904,1.03854,2.74278,2.66651,8.97589,3.40915,5.8988,4.70474,1.60895,7.41751,7.17942,2.76487,2.08719,2.79247,1.16373,5.3713
"Saccharomycetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02964,0,0,0,0,0,0,0,0,0,0,0,0,0.00951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055,0,0,0,0,0,0.01884,0
"Bacteroidia",60.82675,39.35869,52.99279,39.93783,24.26795,35.8173,49.04385,12.14051,42.86317,29.49719,39.67471,35.46221,25.37047,30.06587,61.42846,32.47016,41.7368,29.03989,31.60864,57.19232,61.08683,20.51677,63.74745,41.62949,52.80699,47.90562,49.55325,57.45635,60.9718,34.6492,30.26732,41.12143,33.62046,58.98082,55.36301,49.05805,38.58807,84.7161,48.33919,34.93526,42.65137,28.64962,46.28578,51.44527,10.34164,30.22984,20.00236,25.38949,43.99027,79.17451,63.84139,53.72682,40.19177,31.25781,28.41495,58.09499,50.40218,50.37577,46.51282,46.352,49.2537,19.82664,37.03672,66.04458,48.40693,31.36934,30.28121,17.45748,50.87374,22.46021,49.97871,36.30867,5.86332,63.17286,18.00476,7.90683,27.68384,20.78557,50.21135,38.14859,29.36294,50.2776,67.93925,24.61312,8.02772,23.74735,23.4958,54.45684,42.73388,43.16305,47.10439,33.56115,37.52301,49.07526,26.49916,32.73675,35.91498,33.25991,33.99162,58.57659,29.93039,58.89066,49.91096,17.36934,41.6093,14.67417,82.84746,20.21013,19.62679,33.16371,18.86388,31.03877,12.51605,21.81736,58.27726,18.63011,20.10872,37.86218,32.34231,38.18119,31.13456,34.71637,31.16765,39.57316,19.60558
"Thermoplasmata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobacteria",0.19406,0.00173,0,0,0.51418,0.14258,0,0.30753,0,1.49843,0,0,0,0,0,1.00038,1.62505,0,0.00393,0,0.04932,0,0.10524,0,0.02082,0.1394,0,0.01093,0,0.02898,2.06197,0,0.71881,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0.00722,1.10376,0,0,0.00276,1.75557,0.04008,0.1016,0,0,1.01424,0,0,2.25136,0,2.5148,0.06125,0.4466,0,0,0,1.86507,0.02866,0,0.24457,0.24951,0.34319,0.01862,0.03064,0,0,0,1.95992,0,0,0,0,0.0261,0,0,0.16182,0.01267,0,0,0,0,0.2698,0.02022,0,0,0,0.30233,0.43673,0,0,0,0,0.31543,0,0,0,0,0.15331,0.03816,0.02414,0,0,0.0549,0.05655,3.11556,0,0,0.01614,0.0856,0,0.46905,0,0,0.00798
"Bacilli",1.12523,0.37961,0.0476,0.36069,0.19988,2.47136,2.8416,0.76606,0.10185,0.15946,0.10206,0.02109,0.16105,0.79121,0.20243,0.65851,0.12603,0.02936,0.75154,0.10004,0.43667,0.11235,0.87176,0.88974,0.04985,0.15309,0.19254,0.63959,0.28166,0.49634,0.3697,0.82471,0.65767,0.46445,0.25042,0.05884,0.11605,0.76962,0.21949,0.05632,0.03665,0.0981,0.12271,0.84897,0.03046,0.33547,1.1697,0.59804,0.48064,1.38956,1.47554,0.20739,0,0.12074,0.21223,0.07277,4.39553,0.14952,0.15822,0.22479,0.11561,0.98874,3.65226,1.66268,0.02769,0.1615,0.00933,0.20092,1.32862,0.26372,1.17135,0.58453,0.58281,0.45129,2.5544,3.49266,0.83339,0.15954,0.36308,0.5747,0.02942,0.53535,0.00688,0.07433,0.13321,0.00784,0.05587,1.092,0.31237,0.00837,0.33075,0.0964,0.77478,0.43365,0.74926,0.11613,0.66476,0.20248,0.14183,0.18801,0.04522,1.27229,0.4143,0.04765,0.10423,0.31928,0.13347,0.28695,0.50459,1.16429,0.6215,0.25363,1.38516,0.15503,0.02034,6.0103,0.12372,0.46618,0.09274,0.00489,0.01612,0.12813,0.22923,0.03071,0.15406
"Clostridia",24.12672,48.16613,34.54687,53.33997,43.96343,58.41311,31.32859,81.12953,43.64084,52.40126,53.02746,54.39472,68.61068,56.30632,28.55796,45.35851,44.42768,45.73108,58.40887,29.76541,28.75508,66.72366,28.72556,50.4214,42.14663,35.23864,46.71681,33.04007,18.26622,49.78423,42.43409,51.41323,58.99976,36.18904,40.68784,48.22349,54.31768,13.16781,40.48205,43.47719,52.38679,50.3383,46.26446,40.46427,59.49239,34.49842,68.50754,58.79214,52.93247,16.71725,17.23599,23.08046,37.84991,62.26016,44.23368,38.05488,32.11443,32.11785,41.00646,32.88653,29.5001,56.99856,38.371,22.55143,39.64501,64.75125,57.47747,52.66741,44.44915,63.12705,47.58625,57.19606,72.31742,27.78394,65.34103,77.9395,42.98596,74.69215,40.79201,37.43473,53.4156,43.97837,27.39989,54.20396,68.63533,54.49411,38.45264,40.72767,49.78115,43.92907,50.04815,60.23319,47.71819,37.61242,54.3402,42.10922,49.85988,56.32415,58.60131,37.04159,62.27695,21.11479,12.69142,48.13526,48.92389,77.49225,10.6232,60.6747,64.28552,62.11353,48.83893,55.06751,57.04464,52.77953,29.49769,51.08672,10.8139,55.52959,47.06513,29.08847,62.60544,43.39237,57.38854,53.54488,68.74083
"Erysipelotrichia",2.78023,0.35274,4.95495,0.89807,0.79568,0.1612,2.62917,1.15496,0.17957,0.07359,0.02329,0.00481,0.24149,0.32827,2.66848,0.69795,2.6191,2.06869,0.01124,0.49691,0.3263,0.0476,0.03541,0,0.94125,0.13643,0.08855,0.03627,0.8288,0.33381,4.38961,0.03942,0,0.80666,0.27959,0.03727,0.04427,0.02379,0.00369,0.0855,0.00475,0.00441,0.05587,0.00694,0,0.05236,0.18102,1.09886,0.01794,0.02218,1.33156,2.63237,0.0113,0.0121,0.07827,0.26048,0.84856,0.15028,0.04061,2.28456,0.16701,16.31352,0.19159,0.36499,1.63754,0.15069,0.01467,0.21903,0.67865,0,0.0149,0.50814,15.66402,0.80044,3.25466,0.37855,0.00738,0.81503,1.59394,0.06475,0.04582,0.00904,0,0.01516,0.07995,0,0.04295,0.09785,0.1797,0.40095,0,0.41862,0.02825,0.11064,0.26071,0.03054,0.5559,0.06415,1.43018,0.02936,0.00857,1.49342,0.01145,0.00921,0.09262,0.03652,1.11361,3.11815,0,0.10431,0,0,4.53372,0.08187,0.0045,0.35693,0.00601,0.01854,0.0414,0.17557,0.18395,3.27226,0.29038,0.00228,0.00087
"Negativicutes",0.91132,0.93058,2.14297,1.35584,11.63936,0.26608,3.92999,0.2444,2.50455,0.8989,3.78586,0.09432,1.50089,2.4299,6.71277,0.9313,1.03643,6.38126,0.1962,7.82626,0.56142,0.94857,2.51197,0.40064,0.60975,0.54882,0.69119,1.25901,0.38828,0.36399,1.64182,1.12568,2.57557,1.79456,0.01218,0.83019,1.0733,0.17981,0.41756,0.32438,0.3956,0.06044,0.79575,0.47744,0.36909,1.36158,0.42205,1.06226,1.15322,0.22477,0.65772,1.96506,0.0058,0.86319,0.74936,1.10292,1.1258,4.78543,0.54374,8.19117,4.71391,1.84585,4.17314,1.27203,0.42157,0.7561,0.20719,0.58652,0.55255,0.1903,0.40688,1.01211,0.74451,3.16093,0.01808,1.29857,1.01883,0.09905,2.24639,0.19689,6.85003,0,0.55275,4.70902,0.14105,4.17609,1.14246,0.07113,0.7937,2.45841,0.44888,0.66574,0.22356,0.09489,0.49492,0.59887,0.12357,0.3365,0.07608,0,0,0.50029,0.17154,7.77221,0.78926,0.34486,0.98603,0.77653,0.13406,0,0.79966,0.7055,0.46955,6.49901,5.2388,1.74137,15.23994,0.28913,0.13146,0.18626,1.84449,4.47655,7.16316,0.92111,1.08911
"Tissierellia",2.53453,0.02841,0.00499,0.30884,0,0.08201,0.24886,0.00671,0,0,0,0,0.00336,0,0.03297,0.00347,0,0.01714,0,0,0.22227,0.54564,0,0,0.17848,0.00666,0,0.00765,0.00255,0.6279,0.04178,0,0,0,0,0,0.00126,0.04791,0,0,0,0,0,0,0,0,0.00038,0,0,0.06751,3.6653,0.25771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11319,0,0,0,0,0,0,0,0.01169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03389,0,0,0,0,0,0.04298,0.01877,0,0,0,0,3.44064,0,0.00625,0,0,0,0,0,0,0,0,0,0.00315,0,0,0,0,0.32883,0.05762,0,0.01229,0,0,0
"Fusobacteriia",1.36658,0.4354,0.49788,0.42711,0,0.16804,0.03058,0.00087,0,0,0,0,0,0.00247,0.02838,0.00262,0.01236,0.04051,0,0,0.28986,1.52629,0,0.01377,0.01157,0.10923,0,0.27277,0,0.26961,0,0.00655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73491,0.04243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62863,0.0057,0,0.04897,0,0,0,0,0,0,0,0,0,0,0.01452,0,0,0,0,0,0.00949,0,0,0,0,0,0.99015,0,0,0.04338,0,0,0,0.01833,0,0,0.01352,0,7e-04,0,0,0.21347,0,0.23033,0,0,0.00459,0,0,0
"Lentisphaeria",0,0,0,0,0.0313,0.00921,0,0.0073,0.0327,0,0,0,0,0.00439,0,0,0.00191,0.05983,0,0,0,0,0.03099,0.00905,0,0,0.0033,0,0,0,0.02902,0,0,0,0.05091,0,0,0,0,0,0,0,0,0,0,0.01298,0,0,0,0,0,0.07896,0,0.03665,0,0,0,0,0,0,0,0,0,0,0.06647,0,0,0.2571,0,0,0,0,0.00303,0.01893,0,0,0,0,0,0,0,0,0,0,0,0,0.01255,0.00132,0,0,0,0,0.02784,0.23094,0,0,0,0.01704,0,0,0,0,0,0.65814,0.00073,0,0,0,0,0,0.01337,0,0,0.00467,0.03248,0,0,0,0,0.00224,0,0.04381,0,0,0
"Betaproteobacteria",0,0,0.07881,0.21239,0.02145,0.04821,0,0.02063,1.09251,0.94794,0.90422,0.01064,0.04136,0.19951,0,0.00654,0.08216,0.0077,1.54535,0.01928,0.17671,0.10147,0.18179,0.01354,0,0,0,0.08788,0,0.20878,0,0,0.04728,0,0,0,0.09037,0,0,0.24763,0,0.02914,2.04849,0.01891,0,0,0.44051,0.15686,0,0,1.30739,0.01114,0.05238,0.08734,0.01665,0.05294,0.11792,0.10321,0.42681,1.08216,0,0,0.77252,0,0.3863,0,0.60936,0.0254,0.00024,0.00118,0,0.01536,0,0,0,0.01351,0.04896,0.22147,0.21529,0,0.10815,0.02898,0,0,0.56421,2.51752,0,0.2462,0.55672,0.06577,0,0,0,0.00293,0.65246,0,0,0.03211,0,0,0.09634,0.08117,0,0,1.7395,0.0792,3.84096,0,0.27911,0,0,0.09275,0.02399,0,0.04044,0.07143,0,0,0.05891,0.16691,0,0.0038,0.03425,0.84495,0
"Deltaproteobacteria",0.20708,0,0.01283,0.09228,0.0134,0.04192,0.03447,0.00508,0.42284,0.1202,0.07681,0.01933,0.13727,0.08993,0.12464,0.74632,0.02945,0.30181,0.03028,0.00938,0.05565,0,0,0.1477,0.12379,0.10488,0.18692,0.01786,0,0.07838,0.0121,0.01791,0.42657,0,0.05483,0.07673,0.06916,0,0.00413,0.38025,0,0.03664,0,0.0687,0.07233,0.37618,0.00287,1.14337,0,0,0.04457,0.05711,0.63667,0.00547,0.1852,0.21303,0.01216,0.4312,0,0.01275,0,0,0.6075,0.01609,0,0.07888,0.14865,0.04501,0.22634,0.00704,0.03498,0.09711,0.01681,0,0.00527,0,0.49379,0.07789,0,0.44058,0,0.00255,0.00081,0.00632,0,0.49379,0.57545,0.00378,0.04339,0.37205,0.01897,0.10104,0.06928,1.81893,0.03488,0.64862,0.04165,0.02704,0.17652,0.20956,0.01943,0.09005,0.04246,4.39944,0.55063,0.00827,0.27713,2.43785,0,0.01279,0.33837,0.45313,0.04387,0.03229,1.41959,0,0.13806,0.01111,0.02421,0.33253,0,0.0308,0.09089,0,0.09341
"Epsilonproteobacteria",0.00064,0,0,0.01825,0,0,0,0,0,0,0,0,0,0,0.04676,0,0,0.02086,0,0,0.00311,0.00823,0,0,0,0,0,0,0.01058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04534,0.04823,0,0,0,0,0.00339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06567,0,0,0,0,0,4.02092,0,0,0,0,0,0,0,0,0,0,0.00241,0,0,0,0,0,0
"Gammaproteobacteria",0,0.06074,0.0592,0.73365,0.15435,0.25991,0.14483,0.2851,0.04265,0,0,0.02051,0.18037,0.0095,0,0.1867,0.01603,0.01298,0.08067,0.00783,1.41975,0.00425,0.65097,2.46073,0.17544,2.77665,0.02254,4.31947,0.01159,0.42486,0.32144,2.00032,0.06736,0.46347,0.00404,0.01752,0.06083,0.21164,0.00059,0.04182,0.07411,0.00614,0.05098,0.00403,2.14507,28.08845,0.02327,0.5027,0.00495,0.16449,0.70036,0.09416,0.00436,0,22.0638,0.08805,0.19393,0.01148,0,0.22777,0.00996,0.64989,0.00167,1.86308,6.94333,0.77534,0.07502,0.08233,0.1141,0.00409,0.02716,0.05719,0.57803,2.14894,0.01527,0.70144,0.03118,0,0.7314,2.33431,0,0.0134,0.00326,0.10779,0.08695,0.00695,0.02913,0.3087,0.10233,0.46626,0.0552,0.00187,0,0.10588,0.01266,0.0037,1.58832,0.1384,0.07628,0,0.02039,0.01148,0,0.00251,0,0.06462,0,0.26291,0.08347,0.05395,27.9613,0.22743,0.03321,0.00893,0.01733,0.14843,2.16225,0.46358,0.0373,1.40293,0,0.01321,0.04932,0,0.4092
"Spirochaetia",0,0,0,0,0,0,0,0.04091,0,0,0,0,0,0,0,0,0,0,0,0,0.03421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistia",0,0.00341,0.00095,0,0.53858,0.00075,0.01788,0,0.00102,0,0,0,0,0,0,0.00282,0,0.00163,0,0,0.00169,0,0,0,0.10272,0.00191,0.00164,0.0083,0,0,0.00122,0,0.00292,0,0.00078,0,0,0,0,0.20073,0,0,0,0,0,0,0,0,0,0,0,0.5844,0.00392,0,0,0,0,0,0,0,0,0,0,0.04147,0,0,0,0.01264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058,0.00089,0,0,0,0,0,0,0.00082,0,0,0.01605,0,0,0.00056,0,0.00442,0,0,0,0,0.0066,0,0,0,0,0.00832,0.00624,0.02815,0,0,0,0.63658,0,0,0,0,0
"Bigyra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2409,0,0,0,0,0,0,0.12141,0,0,0,0,0.1211,0,0,0,0,0,0,0.0087,0,0.07712,0,0,0,0,0,0,0,0,0,1.89569,0,0,0,0,0,0,0.1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",1.8313,2.08198,0.72582,0.50555,0.38499,0.40715,1.46194,0.88667,1.64783,0.25563,0.04519,0.35637,2.58601,1.29729,0.02646,6.69813,1.40279,1.43556,0.62309,0.07944,1.40959,1.91449,2.74953,1.29995,0.16829,0.68511,0.92919,0.83108,0.0078,1.24651,2.48323,0.09956,1.49621,0.34818,0.26956,0.03402,1.14657,0.46112,0.0628,0.35139,0.04962,0.00075,2.40929,0,2.57344,2.95399,0.04612,0.36246,0.4679,0.81807,0.9008,1.59358,7.70476,0.90348,0.35495,0.12076,2.5464,2.2093,3.41921,4.62309,0.3806,0.14051,1.14812,3.13577,1.84932,1.21422,0.99879,1.11497,0.0203,0.28183,0.16929,0.87347,0.99161,0.20511,0.06732,0,14.1818,0.2528,0.58912,0.16007,0.34737,0.54998,1.66927,1.52292,5.32571,1.93988,1.21993,2.64148,3.33238,1.75137,0.6028,1.25309,0.16051,0.12885,0.1359,0.56662,0.25382,1.72937,0.92612,0.07613,1.69836,6.99483,3.24483,15.26503,1.80267,0.74696,0.13932,0.15024,0.48374,0,0.23647,1.56835,0.81717,0.9913,1.92625,2.016,0,0.44788,3.71622,2.75733,0.1522,1.54485,0.1651,0.7822,0.55903
"Verrucomicrobiae",0.00539,3.12304,0,0,12.57296,0.00269,0,0.53343,2.5686,10.21463,0.71338,2.10116,0.02112,1.19046,0.01732,4.99335,0.00263,0.00416,0,0,0.35777,0.02534,0,0.10349,0,11.39615,1.19357,0.06999,19.11455,6.21802,0.04023,0,0.0031,0.01859,0.03648,0,0.7635,0.00197,0.00731,10.95058,0,0.00171,0,0,2.20514,0,0.00532,4.18932,0.19671,0,0,4.98389,0.11338,3.56811,0.47784,0.55193,1.0903,4.44828,0,0,0,0,0.04539,1.65071,0.00383,0,2.82782,20.03888,0.19442,0.03795,0,0,0,0.81081,0,0,3.6738,0,0.01147,0.00292,0,0,0.5501,0.01108,0.04347,0,0.42768,0.00839,0.45639,0,1.33438,0.68272,0.9957,0.94082,0.05226,16.21407,0,0,0.08598,1.20106,2.34079,0.00013,0,1.2865,3.57463,0,0,0,3.0792,0,0.01838,0.28219,0,0.14693,0.00392,0.56803,42.50619,0.48379,8.2206,0.02579,0,0.36837,0,0.11474,0.77439
