"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Actinobacteria",0.73388,2.5443,1.19912,4.48887,2.67203,71.59791,6.03587,6.69628,51.42177,8.75748,7.63571,4.83359,0.28281,5.65239,0.36477,15.88959,1.10261,40.19015,2.37932,2.60995,0.34218,3.08098,0.97012,1.88792,7.59695,46.93175,2.99762,8.31422,6.92428,16.00066,0.17187,0.02721,5.08366,0.90509,1.37762,1.40686,0.06728,0.92181,4.76965,15.1841,0.10118,0.23583,2.52936,1.19904,0.07478,0.43431,1.18325,0.19481,1.90034,1.23215,1.9838,0.37377,1.32213,0.09382,0.52993,0.37526,0.15925,0.14977,1.21946,1.40405,0.88022,5.14232,0.24612,0.5229,2.21875,26.03157,1.34157,16.20225,24.10593,2.92891,0.06557,7.33577,6.7617,9.98943,6.6274,7.70996,7.19868,25.22661,2.42415,0.85204
"Bacteroidetes",0.32076,78.47547,65.54263,84.9476,61.03021,1.65948,31.53578,79.4083,8.15644,54.07205,47.73972,55.87125,61.76001,23.2796,47.16734,37.10342,70.22761,0.01366,50.27433,83.98786,74.9621,42.60283,71.96661,48.47256,36.77052,19.22973,70.13758,76.61487,6.10866,42.54075,54.90678,91.3144,58.31758,65.90722,81.60738,46.02786,76.01699,68.49221,43.29264,21.12775,82.05387,47.47513,38.35702,66.42006,63.44109,66.59154,84.99573,46.39619,50.86274,45.18249,58.50604,65.22049,67.31795,0.00427,86.72349,87.82869,0,92.45092,77.4058,78.77308,66.57312,28.07251,42.81811,54.25225,54.34483,0,85.42018,33.00195,27.82611,65.32595,87.09525,38.37655,39.70434,42.89051,27.63296,31.35663,80.43901,36.34918,47.50471,94.30559
"Basidiomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Melainabacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04204,0,0,0,0,0,0,0,0,0.01748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes",36.40624,18.3769,29.9995,9.91159,29.50457,22.99707,61.13383,12.47441,30.32346,17.28844,43.78536,32.51732,36.38224,60.70638,12.49303,37.58904,27.29318,1.30576,12.05981,10.6936,21.00981,38.80612,22.04553,40.51469,51.19766,21.94306,24.34906,14.89545,45.47009,37.18859,42.60311,4.56242,24.50757,32.52616,9.13253,7.50062,20.71247,7.36155,50.63895,56.69048,16.26588,26.53993,47.16798,23.06167,34.54566,29.99189,8.78422,31.77727,43.88136,43.92074,26.26482,12.31488,11.44646,1.18501,8.62607,11.26482,0.25741,6.587,20.09448,19.19869,21.77592,65.44148,52.52964,45.22459,34.44206,1.98689,8.80212,50.54113,47.73951,27.85731,11.15684,39.83413,33.16025,16.77662,64.72198,59.32981,8.40455,37.43273,38.92714,3.39602
"Fusobacteria",0,0,0,0,0,0,0,0,0,0,0,0.03774,0,0.11791,0,0,0,0,0.69962,0,0.26759,0.00445,0,0,0,0,0,0,0,0,0,0,0,0,0.00498,0,0.40615,0,0,0,0,0,0,0,0,0,0,0,0,0.15605,0,0,0.08421,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0.36444,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentisphaerae",0,0,0.04904,0.05245,0,0,0,0.31928,0,0,0.02579,0,0.82429,0,0,0,0,0,0,0,0.13349,0,0.09405,0,0,0.17088,0.1131,0.10933,0,0,0,0,0,0,0,0,0.17511,0,0,0,0,0,0,0.08355,0,0,0,0,0,0,0.05082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20762,0,0
"Proteobacteria",38.74306,0.4181,0.07966,0.18098,6.77444,2.54962,1.23968,0.28378,10.03161,4.19082,0.68171,2.88494,0.60855,9.06097,36.13711,7.1707,1.35094,58.49043,2.31154,0.10202,3.11487,6.4874,4.77671,2.48192,4.37185,0.43855,2.37553,0.03725,4.63158,4.22885,2.31825,4.09595,11.94021,0.62498,7.79267,43.60124,2.61492,9.00587,1.25831,6.95315,0.02111,25.6606,5.29026,0.29501,1.50829,2.97871,5.03018,21.63171,3.32779,9.38346,8.98106,22.08812,19.76332,98.71683,4.1088,0.52758,99.58335,0.81233,1.15831,0.59925,9.44135,1.33663,3.82659,0.00027,1.94355,71.98153,4.0717,0.16796,0.21489,3.0369,0.77411,14.18991,20.32825,0.30673,1.01174,1.48962,3.88759,0.6405,2.84047,0.43402
"Spirochaetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistetes",0.12964,0,0,0,0.00295,0.01252,0,0,0,0.00259,0.00519,0.03102,0,0.00286,0.92223,0,0.00162,0,32.24965,0,0,0.48733,0.11733,0,0.00115,0,0,0,0.00106,0,0,0,0,0,0,0,0,2.72059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07136,0.02325,0,0,0,0,0.01424,0,0,0,0,0,0.48439,0.23871,0.02973,0,0.0059,0.02802,0,0,0,0.08525
"Unknown",0,0,0,0,0,0,0,0.78056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Verrucomicrobia",23.66551,0.18524,2.85561,0.40494,0,0.0064,0.00686,0,0,15.66149,0,3.6591,0.14213,0.29683,2.90744,2.23572,0,0,0,2.59982,0,8.53086,0,6.64223,0,6.67213,0,0,36.78114,0,0,0,0,0.02883,0,1.22567,0,9.37244,0,0,1.54838,0,6.61653,8.50146,0.43015,0,0,0,0,0.04897,4.21262,0,0,0,0,0,0,0,0.00944,0,1.32267,0,0.57783,0,7.03657,0,0,0,0,0.52322,0,0,0,29.93876,0,0.02118,0.04887,0,8.29333,0.91603
