"","CCIS00146684ST.4.0","CCIS00281083ST.3.0","CCIS02124300ST.4.0","CCIS02379307ST.4.0","CCIS02856720ST.4.0","CCIS03473770ST.4.0","CCIS03857607ST.4.0","CCIS05314658ST.4.0","CCIS06260551ST.3.0","CCIS07277498ST.4.0","CCIS07539127ST.4.0","CCIS07648107ST.4.0","CCIS08668806ST.3.0","CCIS09568613ST.4.0","CCIS10706551ST.3.0","CCIS10793554ST.4.0","CCIS11015875ST.4.0","CCIS11019776ST.4.0","CCIS11354283ST.4.0","CCIS11362406ST.4.0","CCIS11558985ST.4.0","CCIS12370844ST.4.0","CCIS12656533ST.4.0","CCIS13047523ST.4.0","CCIS14449628ST.4.0","CCIS15704761ST.4.0","CCIS15794887ST.4.0","CCIS16326685ST.4.0","CCIS16383318ST.4.0","CCIS16561622ST.4.0","CCIS17669415ST.4.0","CCIS19142497ST.3.0","CCIS20795251ST.4.0","CCIS21126322ST.4.0","CCIS21278152ST.4.0","CCIS22275061ST.4.0","CCIS22416007ST.4.0","CCIS22906510ST.20.0","CCIS22958137ST.20.0","CCIS23164343ST.4.0","CCIS24254057ST.4.0","CCIS24898163ST.4.0","CCIS25399172ST.4.0","CCIS27304052ST.3.0","CCIS27927933ST.4.0","CCIS28384594ST.4.0","CCIS29210128ST.4.0","CCIS29688262ST.20.0","CCIS31434951ST.20.0","CCIS32105356ST.4.0","CCIS32452666ST.4.0","CCIS33816588ST.4.0","CCIS34055159ST.4.0","CCIS34604008ST.4.0","CCIS35092938ST.4.0","CCIS35100175ST.4.0","CCIS36699628ST.4.0","CCIS36797902ST.4.0","CCIS37250421ST.4.0","CCIS38765456ST.20.0","CCIS40244499ST.3.0","CCIS41222843ST.4.0","CCIS41288781ST.4.0","CCIS41548810ST.4.0","CCIS41692898ST.4.0","CCIS41806458ST.4.0","CCIS44093303ST.4.0","CCIS44676181ST.4.0","CCIS44743950ST.4.0","CCIS44757994ST.4.0","CCIS45571137ST.3.0","CCIS45793747ST.4.0","CCIS46047672ST.4.0","CCIS46467422ST.4.0","CCIS47284573ST.4.0","CCIS47745468ST.4.0","CCIS48174381ST.4.0","CCIS48507077ST.4.0","CCIS48579360ST.4.0","CCIS48725289ST.4.0","CCIS50003399ST.4.0","CCIS50148151ST.4.0","CCIS50369211ST.20.0","CCIS50471204ST.4.0","CCIS50561855ST.4.0","CCIS51595129ST.4.0","CCIS51667829ST.4.0","CCIS52234160ST.4.0","CCIS52370277ST.4.0","CCIS53043478ST.4.0","CCIS53355328ST.4.0","CCIS53557295ST.4.0","CCIS54027808ST.4.0","CCIS55230578ST.4.0","CCIS55531770ST.4.0","CCIS56503244ST.3.0","CCIS58234805ST.4.0","CCIS59132091ST.4.0","CCIS59903910ST.4.0","CCIS61287323ST.4.0","CCIS62605362ST.3.0","CCIS62794166ST.4.0","CCIS63448910ST.4.0","CCIS63468405ST.4.0","CCIS63910149ST.4.0","CCIS64773582ST.4.0","CCIS64785924ST.20.0","CCIS65479369ST.4.0","CCIS70398272ST.4.0","CCIS71301801ST.4.0","CCIS71578391ST.4.0","CCIS72607085ST.4.0","CCIS74239020ST.4.0","CCIS74726977ST.3.0","CCIS76563044ST.4.0","CCIS76845094ST.20.0","CCIS77100899ST.4.0","CCIS77252613ST.4.0","CCIS78100604ST.4.0","CCIS78318719ST.4.0","CCIS79210440ST.3.0","CCIS80834637ST.4.0","CCIS81139242ST.4.0","CCIS81710917ST.20.0","CCIS81735969ST.20.0","CCIS81887263ST.4.0","CCIS82146115ST.4.0","CCIS82507866ST.3.0","CCIS82944710ST.20.0","CCIS83445808ST.4.0","CCIS83574003ST.4.0","CCIS83870198ST.4.0","CCIS84543192ST.4.0","CCIS85214191ST.3.0","CCIS87116798ST.4.0","CCIS87167916ST.4.0","CCIS87252800ST.4.0","CCIS87290971ST.4.0","CCIS87605453ST.4.0","CCIS88007743ST.4.0","CCIS88317640ST.4.0","CCIS90164298ST.4.0","CCIS90166425ST.4.0","CCIS90443472ST.4.0","CCIS90903952ST.3.0","CCIS91228662ST.4.0","CCIS93040568ST.20.0","CCIS94417875ST.3.0","CCIS94496512ST.4.0","CCIS94603952ST.4.0","CCIS95097901ST.4.0","CCIS95409808ST.4.0","CCIS96387239ST.4.0","CCIS98482370ST.3.0","CCIS98512455ST.4.0","CCIS98832363ST.4.0"
"Actinobacteria",10.03752,0.01803,7.96531,0.12503,1.55987,3.7778,2.88228,16.59954,1.02444,20.87304,7.28363,6.53121,0.41245,13.06114,0.27407,0.85161,7.83575,17.31096,3.76682,9.89579,0.14463,0.22422,4.09389,0.23057,0.7542,0.43474,19.05969,13.44171,4.08122,1.96398,7.61084,0,43.49753,1.03798,1.67985,4.51269,8.6247,2.46081,1.30042,7.41414,2.80749,5.53432,1.1541,0.07923,40.8903,1.45363,2.68163,10.99794,2.78778,1.46638,1.94119,3.02622,1.34733,1.03155,3.34812,0.73511,11.22446,10.04037,0.65654,2.34953,0.04543,0.7665,19.05064,6.01326,11.03679,0.94428,1.02976,3.55367,2.2479,9.91444,0.34407,2.06563,1.41607,3.95595,6.21006,0.26636,2.86982,0.89273,0.51846,1.74074,10.7508,1.35678,42.65565,2.23925,0.96976,1.4984,12.17224,0.81813,3.16317,3.88274,4.8182,18.15304,5.99917,3.84235,0.7958,0.05071,1.58064,8.14293,0.76271,2.65195,1.73782,1.63946,7.76621,2.06208,2.4029,0.69934,11.09119,12.28491,1.83481,0.23901,1.98806,0.99527,3.88519,1.29777,5.69865,0.25802,7.70104,4.2197,5.98151,4.58228,0.06154,0.77715,2.24701,39.72589,7.1168,1.54448,4.33783,0.17689,4.38121,2.08487,0.17214,3.00923,4.57859,0.03182,1.33098,3.7084,2.6627,1.26719,2.45005,14.58917,15.62274,17.00612,4.19688,1.45247,0,0.25145,5.20737,2.35131,12.66867,6.73388,8.68782,6.66992,11.65559,0.08335,1.68782,5.84468
"Ascomycota",0,0.00438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156,0,0,0,0,0,0.00186,0,0,0,0,0,0.00195,0,0,0,0.00919,0,0,0,0,0,0,0,0.09528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03666,0,0,0,0.00514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237,0,0,0,0,0
"Bacteroidetes",21.86795,75.99279,20.19827,56.55994,26.58431,28.02409,15.18416,31.76989,16.8432,29.6481,45.20098,35.96772,37.54487,30.27124,38.90095,21.06823,34.36617,16.69704,25.42457,12.09094,78.41542,28.21133,27.11018,34.44292,62.68677,0.06672,26.98702,47.3313,34.53782,45.87201,15.92272,23.1712,9.72035,12.08527,17.55975,3.83556,27.73843,35.16782,44.11128,1.85371,67.53783,26.85364,53.64189,30.13411,0.33815,39.84655,63.89239,5.12503,13.70953,55.14653,29.31383,38.53138,8.02884,17.68597,22.54745,31.97136,3.2756,26.73848,23.63601,29.56098,63.85374,31.00667,25.56784,51.18637,19.98931,6.05951,76.64478,10.18205,38.01799,25.67415,39.68708,26.38604,45.31796,76.17989,30.42906,61.59725,27.9937,68.7843,41.31765,19.88801,19.11247,52.26404,0.06121,25.74816,75.31784,21.86674,23.56667,16.43159,57.43622,39.05621,31.05058,22.82193,28.9127,25.86709,40.73793,31.02585,25.62544,0.65172,26.58472,32.59805,28.41821,52.2979,37.30085,36.11938,20.9591,41.76022,10.62428,36.27276,33.09894,79.29489,29.68812,52.28064,16.71369,39.64125,34.35205,26.2469,34.09143,39.1969,21.16328,18.02765,40.51742,36.2669,24.43916,16.92251,22.9293,34.82516,4.1066,43.68681,19.24521,29.20303,72.83622,40.85781,61.68503,78.74096,44.17151,15.52318,65.7562,28.59077,64.14074,41.42562,17.72985,13.26397,54.34586,39.2909,59.64506,69.93131,34.09208,19.78455,23.04719,25.20813,22.77949,5.541,58.89831,39.0499,46.12775,33.57104
"Candidatus Melainabacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07795,0,0,0,0,0,0,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00526,0,0,0,0,0,0,0.01932,0,0,0,0.11691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06336,0,0,0,0.03205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83836,0,0.01196,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Thermoplasmatota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euryarchaeota",0,0.07253,0,0.05642,0,5.1902,0,0.32286,44.27099,0.00114,3.12886,0.09471,2.42658,0.90582,0,0.00125,1.18342,0.04967,2.00575,2.95461,0,0.0538,12.59757,0,0,0,0,0.01221,0,0,0.01162,0.28787,9.30693,2.92655,9.32377,0,0.37595,0,0.09111,0,0,0,0.18258,5.88584,0.00868,2.97714,0,0.0232,4.01393,2.58653,0.64611,20.11737,0,0,0,2.68892,0,28.92665,0,10.68266,0,3.26931,0,0.23034,0,7.42189,0,0,0.08457,0.04929,0.48421,0.7459,8.21083,0,4.96593,0,0.01218,0.03194,2.02427,0,0,0,0,0.75338,0,1.50711,0.87861,2.62914,0.07333,2.82798,10.58333,0.00473,0.07837,5.85757,0,1.58018,0.27084,1.7905,0,0.03849,2.32918,2.36569,0.01819,0.00286,0,1.86267,1.40784,0,0,0,1.45265,0,0.01322,2.91521,1.19803,0.00025,0,0.00283,0,1.94839,2.17292,0.0493,0,6.936,0,5.63788,0,0.30574,0.06392,0,0,0.01081,0.03502,0,13.77789,0.01757,0,0.06521,0,0,0.63665,3.25329,0.38996,0.08091,0.00177,0.00166,0,20.92451,0,0,0.00519,7.36038,0,0,0.03173,0.65793
"Firmicutes",65.2521,23.70813,71.03005,42.19805,67.06151,59.72583,81.73929,49.62664,26.35942,48.52167,43.13849,56.29547,58.84683,40.06477,60.49735,77.86585,51.26487,62.93438,67.13659,70.21427,20.98543,32.91456,35.66463,64.58879,35.41044,92.64601,53.72876,29.86615,57.44364,50.76858,75.07916,76.22714,37.00376,82.42629,67.51996,91.11901,62.83148,54.06957,52.06047,87.54141,10.81242,35.50272,30.17836,61.03419,58.2944,55.10002,30.20136,83.38153,77.6152,39.48154,65.17042,35.39792,44.71915,81.19409,73.89401,55.87718,80.7735,24.76301,72.78857,55.3823,23.82167,64.00357,51.11791,41.25256,67.64941,83.88961,21.99169,84.91528,58.28578,18.09126,59.37078,69.77366,41.99284,19.76175,57.11346,31.76045,67.60783,28.96643,55.41715,77.02119,69.10693,46.15403,56.72662,69.25104,20.40112,74.16161,63.24885,72.95095,36.01994,53.32682,47.91447,56.9164,64.34929,60.49604,57.89534,66.09394,60.20531,87.83062,71.21177,45.0531,65.34723,36.00323,53.04308,57.47341,74.9186,54.90552,70.50606,45.28057,64.4515,20.11649,66.37166,27.55238,79.23107,54.92629,58.65374,72.48728,58.05424,55.64277,71.51097,67.93978,51.62408,62.07363,71.63547,29.35535,67.59065,54.01531,91.32887,55.21558,75.95839,63.34413,25.38767,53.33692,31.326,18.22998,34.459,38.89324,29.63315,69.33549,32.7904,36.88577,64.26255,65.17131,23.8254,57.38647,38.89107,26.9084,60.69228,52.48757,62.77438,66.75211,67.39751,79.13884,28.97091,60.69417,49.08911,53.8926
"Fusobacteria",0,0,0,0.42905,0,0,0,0,0,0,0,0,0,0,0,0,0.99223,0,0.00947,0,0,38.17692,0,0,0.09095,0.04223,0,0,0,0,0.03376,0,0,0,0.03495,0.16109,0,3.04468,0.04048,0,0,0,0,0,8e-05,0,1.18004,0,0,0,0.00271,0.84178,0.00305,0,0,0.19019,0,0,0,0.06054,11.58522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01556,0,0,0,0,0,0,0,0,0,0,0,0.09871,0.06159,0.00032,0,0,0,0,7.00085,0,0,0.63144,0.00084,0,0,0,0,0,0,5.50175,0,0.00668,0,0,0,0,0,0.09641,0,0.21113,0,0,0,0,0,0,0,0.19627,0,0,0,0,0,0,0,0,0.01304,0,0,0,0,0,0,0,0.15644,0,0,0.30745,0,0,0,0,0,0,0,0,0,0
"Lentisphaerae",0,0,0,0,0,0.02193,0,0.00141,0,0,0,0,0,0.16445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04806,0,0,0,0.03467,0,0,0,0,0,0.00266,0,0,0,0,0,0,0,0,0,0.00127,0.00739,0,0.02876,0,0,0,0.00299,0,0.24696,0,0.00123,0,0,0,0.00086,0,0.01563,0,0,0,0.03313,0,0,0,0,0,0,0,0,0.02042,0,0,0,0,0,0.00545,0.02881,0,0,0.02086,0.2253,0,0,0,0,0,0,0,0,0,0,0.00145,0,0,0,0,0.0281,0,0,0,0,0,0,0,0,0.00746,0,0,0.00381,0,0,0,0,0,0,0,0,0,0.00515,0,0,0,0,0.01633,0,0,0,0,0,0,0,0,0.00828,0.3452,0.05222,0,0,0,0,0,0.01296,0,0,0,0,0.04887,0.01423
"Proteobacteria",0.74569,0.08256,0.15575,0.35497,4.3303,1.60148,0.13329,1.12135,9.29689,0,0.37949,0.94054,0.73739,13.64231,0.32171,0.21307,3.52392,2.81871,0.73605,4.75493,0.12796,0,0.63112,0.73772,0.93348,6.8103,0.10766,1.29577,3.42933,0.53853,0.6341,0.27007,0.3793,1.03622,3.1153,0.07865,0.35963,0.16075,1.32293,2.7151,0.02556,31.73723,1.06948,0.91594,0.01067,0.44493,0.92191,0.25475,1.5869,0.66671,2.92573,1.07825,45.8746,0.06503,0.1843,1.10913,4.66879,1.28817,2.91246,1.62986,0.62237,0.0296,4.14346,0.63306,1.31415,0.51656,0.33353,0.18183,1.3057,28.07595,0.01858,0.99354,2.32964,0.07818,0.56511,3.66614,0.91291,1.16793,0.09943,1.25629,1.02122,0.15094,0.27175,1.60107,1.20379,0.41852,0.08624,6.96634,2.14774,0.53948,0.30455,0.42684,0.59911,3.79471,0.2843,0.62882,0.75375,0.3582,1.34827,18.78935,1.80743,5.86759,1.85756,1.99845,0.03074,0.72849,0.2979,0.59388,0.58058,0.33466,0.37799,8.07249,0.05839,1.06837,0.02473,0.87759,0.10626,0.60339,1.25139,7.35255,5.09748,0.75906,0.8429,5.35403,0.92022,1.73194,0.1907,0.33255,0.2432,5.27349,1.58323,1.15368,0.41448,2.99727,2.24352,33.62405,1.83671,0.71299,0.59167,6.1906,1.69519,0.41607,8.15818,0.51183,0.67993,2.56677,0.00828,0.93384,1.38594,1.27954,1.07454,0.92464,0.40321,0.17261,2.91263,0.06972
"Spirochaetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00064,0,0,0,0,0,0,0,0.01367,0,0,0,0.38362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14792,0,0,0,0
"Synergistetes",0.00259,0,0.00236,0,0,0.00136,0,0,1.98901,0,0,0.02725,0,0.03934,0,0,0.01006,0.04774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124,0,0,0,0,0,0.034,0,0.03168,0.00175,0,0.15637,0,0,0,0,0,0.035,0,0,0,0,0,1.01741,0,0.05257,0,0,0,0,0,0.08478,0,0,0,0.1405,0,0.0037,0,0,0,0,0,0,0,0,0,0.04644,0,0.0033,0,0.00027,0,0,0.00079,0,0.11771,0,0,0,0,0,0,0,0,0,0.00144,0,0,0.00461,0,0,0,0,0.00069,0.00187,0.00293,0,0,0,0,0,0,0,0,0.00772,0.02633,0,0,1.0833,0,0,0,0,0,0.00423,0,0.00091,0,0,2.49024,5.19601,0,0.001,0,0,0.0051,0.00279,4.12584,0,0,0,0,0,0,0,0,0,0,0,0,9e-04
"Verrucomicrobia",1.23664,0.12157,0.56481,0.26779,0.43551,1.52037,0.007,0.51602,0.18134,0.92488,0.80691,0,0.03189,1.2506,0,0,0.76447,0.02211,0.87548,0.00073,0.01837,0.20162,19.68177,0,0,0,0,7.87118,0,0.82933,0.52116,0.04375,0.03064,0.48775,0.71135,0.29061,0.00175,4.99562,1.02914,0.3983,18.7794,0,13.70975,1.25727,0.35298,0,0.97221,0.07009,0.2593,0.48019,0,0.74453,0.0044,0.00429,0.00134,0.00161,0,6.9093,0,0.01575,0,0.91811,0.05067,0.68003,0,1.0517,0,1.15338,0.04031,17.98455,0,0,0.17587,0,0.6061,2.70975,0.51978,0.12338,0.20585,0.06794,0.00863,0,0,0.38572,2.08289,0.00044,0,0,1.13601,0,5.13762,1.19753,0,0.01138,0.2866,0.61848,4.54345,1.06994,0,0.03519,0,1.81239,0,2.29377,0.68509,0.01353,6.06756,0,0,0.00644,0.01419,11.04523,0.00994,0,0.00187,0.0011,0,0.00562,0,0.00115,0.50019,0.0598,0,0.11741,1.18825,2.04837,0,0,0.10443,0.0658,0.02071,1.62166,1.85772,0,1.42389,2.55977,0,0.01492,0,0.83942,0,0.83238,3.01586,1.18159,0.77018,0.02783,0,1.85707,0.07107,0,0,0,0,0,0,5.83341
